biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,id,lastName,number,party,partyName,pictureUrl,updated
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4154,VS,Valais,N,V,Groupe de l'Union démocratique du Centre,Jean-Luc,Membre,,4154,Addor,3055,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3055.jpg,2017-03-22T14:59:30Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3867,BE,Berne,N,V,Groupe de l'Union démocratique du Centre,Andreas,Membre,www.aebi-andreas.ch,3867,Aebi,2670,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2670.jpg,2018-01-16T09:29:48Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4049,BE,Berne,N,S,Groupe socialiste,Matthias,Membre,www.matthiasaebischer.ch,4049,Aebischer,2760,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2760.jpg,2018-07-13T08:31:16Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4053,ZG,Zoug,N,V,Groupe de l'Union démocratique du Centre,Thomas,Président(e),www.aeschi.com,4053,Aeschi,2758,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2758.jpg,2019-06-13T07:19:40Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4090,GE,Genève,N,V,Groupe de l'Union démocratique du Centre,Céline,Membre,,4090,Amaudruz,2796,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2796.jpg,2016-05-02T13:41:49Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4180,SG,St-Gall,N,C,Groupe PDC,Thomas,Membre,www.th-ammann.ch,4180,Ammann,3056,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3056.jpg,2019-06-07T08:57:49Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1135,BE,Berne,N,V,Groupe de l'Union démocratique du Centre,Adrian,Membre,www.adrian-amstutz.ch,1135,Amstutz,2584,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2584.jpg,2017-12-18T11:02:35Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4155,UR,Uri,N,V,Groupe de l'Union démocratique du Centre,Beat,Membre,,4155,Arnold,3057,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3057.jpg,2018-02-20T08:53:27Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4184,BS,Bâle-Ville,N,G,Groupe des Verts,Sibel,Membre,www.sibel-arslan.ch,4184,Arslan,3058,BastA,Grüne (Basels starke Alternative),http://www.parlament.ch/SiteCollectionImages/profil/225x225/3058.jpg,2016-09-15T10:46:50Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4058,ZH,Zurich,N,S,Groupe socialiste,Jacqueline,Membre,www.badran.ch,4058,Badran,2762,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2762.jpg,2015-10-27T10:01:24Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4138,GE,Genève,N,C,Groupe PDC,Guillaume,Membre,www.barazzone.ch,4138,Barazzone,3040,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3040.jpg,2017-12-14T12:10:41Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4203,ZH,Zurich,N,S,Groupe socialiste,Angelo,Membre,www.barrile.ch,4203,Barrile,3104,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3104.jpg,2018-06-01T09:32:52Z
