biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,id,lastName,number,party,partyName,pictureUrl,updated
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=801,TI,Tessin,S,RL,Groupe libéral-radical,Fabio,Membre,,801,Abate,2565,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2565.jpg,2015-11-20T16:06:42Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4088,UR,Uri,S,C,Groupe PDC,Isidor,Membre,,4088,Baumann,2793,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2793.jpg,2017-03-29T10:12:39Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=305,NE,Neuchâtel,S,S,Groupe socialiste,Didier,Membre,www.dberberat.ch,305,Berberat,2370,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2370.jpg,2015-11-11T09:31:36Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3871,SO,Soleure,S,C,Groupe PDC,Pirmin,Membre,www.pirmin-bischof.ch,3871,Bischof,2674,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2674.jpg,2016-04-05T11:11:28Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=823,AG,Argovie,S,S,Groupe socialiste,Pascale,Membre,www.pascale-bruderer.ch,823,Bruderer Wyss,2573,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2573.jpg,2015-11-11T08:15:10Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4075,AR,Appenzell Rh.-Ext.,S,RL,Groupe libéral-radical,Andrea,Membre,www.andrea-caroni.ch,4075,Caroni,2775,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2775.jpg,2019-06-18T13:52:13Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4026,NE,Neuchâtel,S,RL,Groupe libéral-radical,Raphaël,Membre,,4026,Comte,2741,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2741.jpg,2018-02-21T09:13:51Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3914,GE,Genève,S,G,Groupe des Verts,Robert,Membre,www.robertcramer.ch,3914,Cramer,2717,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2717.jpg,2015-12-03T17:17:37Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4151,UR,Uri,S,RL,Groupe libéral-radical,Josef,Membre,,4151,Dittli,3052,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3052.jpg,2017-03-22T14:58:22Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4068,TG,Thurgovie,S,V,Groupe de l'Union démocratique du Centre,Roland,Membre,www.roland-eberle.ch,4068,Eberle,2774,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2774.jpg,2015-05-17T21:18:19Z
http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4064,ZG,Zoug,S,RL,Groupe libéral-radical,Joachim,Membre,www.jeder.ch,4064,Eder,2780,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2780.jpg,2016-11-09T13:04:34Z
