"Elections au Conseil national (nombre de candidatures et d'élus depuis 1975)"

"Canton";"Année";"Parti";"Sexe";"Candidatures";"Elus";"Non élus"
"Suisse";"2015";"Partis - Total";"Homme";2480;136;2350
"Suisse";"2015";"Partis - Total";"Femme";1308;64;1244
"Suisse";"2011";"Partis - Total";"Homme";2325;142;2188
"Suisse";"2011";"Partis - Total";"Femme";1133;58;1076
"Suisse";"2007";"Partis - Total";"Homme";2001;141;1864
"Suisse";"2007";"Partis - Total";"Femme";1088;59;1031
"Suisse";"2003";"Partis - Total";"Homme";1843;148;1699
"Suisse";"2003";"Partis - Total";"Femme";993;52;943
"Suisse";"1999";"Partis - Total";"Homme";1862;153;1714
"Suisse";"1999";"Partis - Total";"Femme";983;47;936
"Suisse";"1995";"Partis - Total";"Homme";1844;157;1692
"Suisse";"1995";"Partis - Total";"Femme";990;43;947
"Suisse";"1991";"Partis - Total";"Homme";1727;165;1567
"Suisse";"1991";"Partis - Total";"Femme";834;35;799
"Suisse";"1987";"Partis - Total";"Homme";1696;171;1530
"Suisse";"1987";"Partis - Total";"Femme";704;29;675
"Suisse";"1983";"Partis - Total";"Homme";1446;178;1273
"Suisse";"1983";"Partis - Total";"Femme";434;22;412
"Suisse";"1979";"Partis - Total";"Homme";1505;179;1331
"Suisse";"1979";"Partis - Total";"Femme";340;21;319
"Suisse";"1975";"Partis - Total";"Homme";1619;185;1439
"Suisse";"1975";"Partis - Total";"Femme";328;15;313
